open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,open_time_dt,close_time_dt,symbol,interval
1747623600000,104645.15,104645.15,103534.47,103605.88,1293.59737,1747627199999,134543173.6147515,228358,500.58099,52050984.2024312,0,2025-05-19 03:00:00+00:00,2025-05-19 03:59:59.999000+00:00,BTCUSDT,1h
1747627200000,103605.9,103779.99,102789.0,103002.07,2427.05534,1747630799999,250578320.4104544,392904,918.37454,94854641.2429465,0,2025-05-19 04:00:00+00:00,2025-05-19 04:59:59.999000+00:00,BTCUSDT,1h
1747630800000,103002.07,103118.57,102513.87,103032.01,2036.68924,1747634399999,209541447.2872635,297054,839.28009,86360649.4055917,0,2025-05-19 05:00:00+00:00,2025-05-19 05:59:59.999000+00:00,BTCUSDT,1h
1747634400000,103032.0,103195.67,102000.0,102208.0,2300.40217,1747637999999,235735461.8391559,288840,780.17122,79984214.2069035,0,2025-05-19 06:00:00+00:00,2025-05-19 06:59:59.999000+00:00,BTCUSDT,1h
1747638000000,102208.01,103356.8,102173.91,103226.29,1134.89093,1747641599999,116721653.0203709,183978,720.16565,74072300.5023393,0,2025-05-19 07:00:00+00:00,2025-05-19 07:59:59.999000+00:00,BTCUSDT,1h
1747641600000,103226.29,103357.6,102920.57,103233.9,710.15374,1747645199999,73256928.6339207,164788,345.90702,35689951.6505536,0,2025-05-19 08:00:00+00:00,2025-05-19 08:59:59.999000+00:00,BTCUSDT,1h
1747645200000,103233.9,103425.53,102999.99,103061.61,802.4216,1747648799999,82806820.4414274,152145,408.9348,42199089.8177687,0,2025-05-19 09:00:00+00:00,2025-05-19 09:59:59.999000+00:00,BTCUSDT,1h
1747648800000,103061.62,103090.07,102853.81,102915.5,640.39455,1747652399999,65940421.6299885,142053,296.20848,30501849.5368164,0,2025-05-19 10:00:00+00:00,2025-05-19 10:59:59.999000+00:00,BTCUSDT,1h
1747652400000,102915.5,103067.83,102782.6,102963.41,530.36927,1747655999999,54616006.4300239,97293,233.54167,24051268.5260822,0,2025-05-19 11:00:00+00:00,2025-05-19 11:59:59.999000+00:00,BTCUSDT,1h
1747656000000,102963.4,102963.41,102126.16,102479.95,1052.78618,1747659599999,107894588.2577748,159727,461.47213,47289037.3230313,0,2025-05-19 12:00:00+00:00,2025-05-19 12:59:59.999000+00:00,BTCUSDT,1h
1747659600000,102479.94,103527.89,102321.83,103294.11,1554.6245,1747663199999,160094475.6625377,234363,855.09675,88057930.1010681,0,2025-05-19 13:00:00+00:00,2025-05-19 13:59:59.999000+00:00,BTCUSDT,1h
1747663200000,103294.11,104369.0,103181.67,104328.11,1627.19129,1747666799999,168730237.421943,268308,829.01302,85971253.0993119,0,2025-05-19 14:00:00+00:00,2025-05-19 14:59:59.999000+00:00,BTCUSDT,1h
1747666800000,104328.11,104968.75,104266.14,104786.41,1837.22906,1747670399999,192273785.752769,227178,949.93501,99417942.9233332,0,2025-05-19 15:00:00+00:00,2025-05-19 15:59:59.999000+00:00,BTCUSDT,1h
1747670400000,104786.42,105435.49,104491.53,105356.44,1500.27726,1747673999999,157406773.0633466,192289,836.37733,87764331.8576439,0,2025-05-19 16:00:00+00:00,2025-05-19 16:59:59.999000+00:00,BTCUSDT,1h
1747674000000,105356.43,105550.01,104940.77,105380.95,1283.57443,1747677599999,135109486.8508734,220595,557.49493,58694157.2091318,0,2025-05-19 17:00:00+00:00,2025-05-19 17:59:59.999000+00:00,BTCUSDT,1h
1747677600000,105380.96,105561.76,104703.66,104778.98,937.18228,1747681199999,98444460.7224868,161001,477.93511,50199770.418987,0,2025-05-19 18:00:00+00:00,2025-05-19 18:59:59.999000+00:00,BTCUSDT,1h
1747681200000,104778.99,105549.99,104633.55,105517.7,782.3217,1747684799999,82278175.6584167,149736,358.15083,37671716.4217046,0,2025-05-19 19:00:00+00:00,2025-05-19 19:59:59.999000+00:00,BTCUSDT,1h
1747684800000,105517.64,105788.87,105321.54,105468.0,683.47777,1747688399999,72144215.7958783,131317,302.49023,31930687.3648574,0,2025-05-19 20:00:00+00:00,2025-05-19 20:59:59.999000+00:00,BTCUSDT,1h
1747688400000,105468.0,105514.79,105016.27,105474.67,768.70926,1747691999999,80915305.2056841,95360,484.26306,50970303.0099078,0,2025-05-19 21:00:00+00:00,2025-05-19 21:59:59.999000+00:00,BTCUSDT,1h
1747692000000,105474.67,105644.41,105182.86,105549.92,1369.62548,1747695599999,144298532.6272907,118778,488.16621,51460629.1351217,0,2025-05-19 22:00:00+00:00,2025-05-19 22:59:59.999000+00:00,BTCUSDT,1h
1747695600000,105549.92,105829.99,105455.57,105573.74,450.24509,1747699199999,47564728.3818834,82506,174.82512,18471716.515659,0,2025-05-19 23:00:00+00:00,2025-05-19 23:59:59.999000+00:00,BTCUSDT,1h
1747699200000,105573.73,106569.99,105554.31,105727.27,1899.74036,1747702799999,201428501.1513504,294161,1050.97119,111465039.3093265,0,2025-05-20 00:00:00+00:00,2025-05-20 00:59:59.999000+00:00,BTCUSDT,1h
1747702800000,105727.27,106789.58,105701.46,106450.0,1406.29767,1747706399999,149433582.9164716,222095,835.41169,88753951.9316219,0,2025-05-20 01:00:00+00:00,2025-05-20 01:59:59.999000+00:00,BTCUSDT,1h
1747706400000,106450.01,106853.27,106000.0,106099.99,1168.64729,1747709999999,124389528.8560283,191375,525.15514,55907551.671619,0,2025-05-20 02:00:00+00:00,2025-05-20 02:59:59.999000+00:00,BTCUSDT,1h
1747710000000,106100.0,106180.75,105533.01,105761.92,1275.86795,1747713599999,135210185.8169876,135411,648.97126,68780721.4176583,0,2025-05-20 03:00:00+00:00,2025-05-20 03:59:59.999000+00:00,BTCUSDT,1h
1747713600000,105761.92,106250.0,105545.45,106219.99,545.70991,1747717199999,57761301.7129575,100654,323.73739,34268631.4031593,0,2025-05-20 04:00:00+00:00,2025-05-20 04:59:59.999000+00:00,BTCUSDT,1h
1747717200000,106220.0,106399.0,106067.36,106105.26,584.56364,1747720799999,62104417.5967298,114096,270.67508,28757113.805027,0,2025-05-20 05:00:00+00:00,2025-05-20 05:59:59.999000+00:00,BTCUSDT,1h
1747720800000,106105.26,106219.99,105381.02,105454.54,635.48643,1747724399999,67135954.7888648,119389,316.95383,33479799.6122165,0,2025-05-20 06:00:00+00:00,2025-05-20 06:59:59.999000+00:00,BTCUSDT,1h
1747724400000,105454.55,105750.26,104928.44,105021.71,1269.79336,1747727999999,133732530.8324592,146843,568.01184,59884222.2912946,0,2025-05-20 07:00:00+00:00,2025-05-20 07:59:59.999000+00:00,BTCUSDT,1h
1747728000000,105021.7,105249.11,104847.16,105223.01,675.94019,1747731599999,71019012.5976755,112721,346.94864,36456968.8096882,0,2025-05-20 08:00:00+00:00,2025-05-20 08:59:59.999000+00:00,BTCUSDT,1h
1747731600000,105223.0,105390.13,105186.31,105285.72,581.83412,1747735199999,61268247.4800165,57768,336.79722,35466495.7735711,0,2025-05-20 09:00:00+00:00,2025-05-20 09:59:59.999000+00:00,BTCUSDT,1h
1747735200000,105285.72,105416.66,105022.72,105030.65,583.62785,1747738799999,61387336.4424539,87262,248.34184,26126461.5136392,0,2025-05-20 10:00:00+00:00,2025-05-20 10:59:59.999000+00:00,BTCUSDT,1h
1747738800000,105030.65,105348.67,104913.04,105203.76,485.14026,1747742399999,51000633.68789,76876,277.36104,29159867.8637388,0,2025-05-20 11:00:00+00:00,2025-05-20 11:59:59.999000+00:00,BTCUSDT,1h
1747742400000,105203.75,105203.76,104653.39,104780.0,621.85316,1747745999999,65202128.1338642,83292,309.12523,32410099.6631043,0,2025-05-20 12:00:00+00:00,2025-05-20 12:59:59.999000+00:00,BTCUSDT,1h
1747746000000,104780.01,104869.57,104184.72,104448.04,1440.3694,1747749599999,150482884.0277786,194950,742.11967,77545353.9142251,0,2025-05-20 13:00:00+00:00,2025-05-20 13:59:59.999000+00:00,BTCUSDT,1h
1747749600000,104448.04,104995.43,104304.34,104519.84,1054.37222,1747753199999,110380686.3424543,191406,635.26766,66514187.8165826,0,2025-05-20 14:00:00+00:00,2025-05-20 14:59:59.999000+00:00,BTCUSDT,1h
1747753200000,104519.84,105391.27,104482.68,105333.68,683.10716,1747756799999,71737491.1303043,153204,402.63468,42276319.4068856,0,2025-05-20 15:00:00+00:00,2025-05-20 15:59:59.999000+00:00,BTCUSDT,1h
1747756800000,105333.67,105523.81,105090.9,105212.49,599.25564,1747760399999,63107034.393377,124400,292.47251,30806147.1920882,0,2025-05-20 16:00:00+00:00,2025-05-20 16:59:59.999000+00:00,BTCUSDT,1h
1747760400000,105212.49,106336.37,105212.49,106200.31,1531.99175,1747763999999,162353234.7511425,217348,877.42844,92930030.1059117,0,2025-05-20 17:00:00+00:00,2025-05-20 17:59:59.999000+00:00,BTCUSDT,1h
1747764000000,106200.32,106419.19,105234.04,105285.54,955.70004,1747767599999,101175120.3061351,228393,360.19154,38133689.5161734,0,2025-05-20 18:00:00+00:00,2025-05-20 18:59:59.999000+00:00,BTCUSDT,1h
1747767600000,105285.53,107238.37,105220.0,107026.47,1970.3521,1747771199999,210030122.0031522,263124,1172.77533,125006233.8561057,0,2025-05-20 19:00:00+00:00,2025-05-20 19:59:59.999000+00:00,BTCUSDT,1h
1747771200000,107026.47,107320.0,106407.66,106909.09,1407.95263,1747774799999,150446926.1399604,220587,726.22145,77622129.7161731,0,2025-05-20 20:00:00+00:00,2025-05-20 20:59:59.999000+00:00,BTCUSDT,1h
1747774800000,106909.09,107225.68,106132.09,106619.0,988.46204,1747778399999,105428830.1987242,234671,431.18619,45999479.7506536,0,2025-05-20 21:00:00+00:00,2025-05-20 21:59:59.999000+00:00,BTCUSDT,1h
1747778400000,106619.0,106894.86,105935.83,106775.83,610.98393,1747781999999,65002273.074469,157603,313.66717,33377916.5248896,0,2025-05-20 22:00:00+00:00,2025-05-20 22:59:59.999000+00:00,BTCUSDT,1h
1747782000000,106775.83,107208.68,106637.5,106849.99,728.43365,1747785599999,77884480.2883513,150722,338.03672,36145239.5241699,0,2025-05-20 23:00:00+00:00,2025-05-20 23:59:59.999000+00:00,BTCUSDT,1h
1747785600000,106850.0,107206.94,106459.8,106739.54,795.55996,1747789199999,84973381.1684198,193382,357.21927,38164774.4214022,0,2025-05-21 00:00:00+00:00,2025-05-21 00:59:59.999000+00:00,BTCUSDT,1h
1747789200000,106739.55,107086.24,106426.0,106500.0,440.84568,1747792799999,47085393.2425452,138416,155.03053,16560584.9728423,0,2025-05-21 01:00:00+00:00,2025-05-21 01:59:59.999000+00:00,BTCUSDT,1h
1747792800000,106500.0,106923.07,106186.79,106859.04,639.36986,1747796399999,68075579.7330596,141444,266.81176,28416795.0692404,0,2025-05-21 02:00:00+00:00,2025-05-21 02:59:59.999000+00:00,BTCUSDT,1h
1747796400000,106859.05,107100.0,106748.69,106843.59,708.25056,1747799999999,75756065.5781401,103906,282.96253,30267688.4181552,0,2025-05-21 03:00:00+00:00,2025-05-21 03:59:59.999000+00:00,BTCUSDT,1h
1747800000000,106843.6,107700.0,106742.85,107287.0,1515.58688,1747803599999,162624908.3084771,207196,803.67033,86232290.7026558,0,2025-05-21 04:00:00+00:00,2025-05-21 04:59:59.999000+00:00,BTCUSDT,1h
1747803600000,107286.99,107718.68,107281.55,107542.0,1194.67386,1747807199999,128469303.7057864,226082,552.15041,59371606.4083349,0,2025-05-21 05:00:00+00:00,2025-05-21 05:59:59.999000+00:00,BTCUSDT,1h
1747807200000,107542.01,107985.05,107294.63,107751.41,1335.30875,1747810799999,143826998.8543448,193166,725.31839,78146473.5945767,0,2025-05-21 06:00:00+00:00,2025-05-21 06:59:59.999000+00:00,BTCUSDT,1h
1747810800000,107751.41,107855.49,106454.54,106527.16,1745.68293,1747814399999,186615193.8556206,323540,899.38172,96102401.5903522,0,2025-05-21 07:00:00+00:00,2025-05-21 07:59:59.999000+00:00,BTCUSDT,1h
1747814400000,106527.17,106797.98,106347.05,106372.45,1022.17805,1747817999999,108893766.8561639,183491,615.25847,65553433.7453729,0,2025-05-21 08:00:00+00:00,2025-05-21 08:59:59.999000+00:00,BTCUSDT,1h
1747818000000,106372.46,106523.81,106100.01,106200.03,796.53854,1747821599999,84646693.8360776,145980,482.8118,51303545.9055943,0,2025-05-21 09:00:00+00:00,2025-05-21 09:59:59.999000+00:00,BTCUSDT,1h
1747821600000,106200.03,106450.0,106136.99,106328.57,551.73093,1747825199999,58639371.1008304,111564,351.71662,37378900.1757237,0,2025-05-21 10:00:00+00:00,2025-05-21 10:59:59.999000+00:00,BTCUSDT,1h
1747825200000,106328.56,106741.71,106272.72,106546.44,611.6822,1747828799999,65158741.4221238,101232,345.82171,36852294.8282157,0,2025-05-21 11:00:00+00:00,2025-05-21 11:59:59.999000+00:00,BTCUSDT,1h
1747828800000,106546.43,106920.21,106409.92,106573.11,789.95753,1747832399999,84263135.9890411,103872,540.21048,57628348.1494643,0,2025-05-21 12:00:00+00:00,2025-05-21 12:59:59.999000+00:00,BTCUSDT,1h
1747832400000,106573.1,107662.08,106329.47,107244.76,1192.94496,1747835999999,127547633.0892842,290291,664.08671,70993967.5686545,0,2025-05-21 13:00:00+00:00,2025-05-21 13:59:59.999000+00:00,BTCUSDT,1h
1747836000000,107244.75,109000.0,107009.06,108999.99,4814.02631,1747839599999,519294644.23039114,567733,3126.93896,337229502.2154066,0,2025-05-21 14:00:00+00:00,2025-05-21 14:59:59.999000+00:00,BTCUSDT,1h
1747839600000,108999.99,109458.0,108332.26,108973.35,4908.56569,1747843199999,534846330.8610484,598617,2566.45484,279623505.29147714,0,2025-05-21 15:00:00+00:00,2025-05-21 15:59:59.999000+00:00,BTCUSDT,1h
1747843200000,108973.34,109845.0,108701.54,109131.7,3551.89039,1747846799999,388367372.7850462,413540,1692.89073,185142652.62151527,0,2025-05-21 16:00:00+00:00,2025-05-21 16:59:59.999000+00:00,BTCUSDT,1h
1747846800000,109131.71,109343.01,106117.67,106592.79,6249.91547,1747850399999,671075329.7250814,856481,2628.5313,282408379.6858318,0,2025-05-21 17:00:00+00:00,2025-05-21 17:59:59.999000+00:00,BTCUSDT,1h
1747850400000,106592.8,107415.83,106317.0,106965.05,2576.43227,1747853999999,275294514.0575017,465415,997.6093,106624871.9279566,0,2025-05-21 18:00:00+00:00,2025-05-21 18:59:59.999000+00:00,BTCUSDT,1h
1747854000000,106965.05,108857.19,106619.68,108603.79,2579.9617,1747857599999,278160256.9611578,423666,1431.17291,154366004.7037,0,2025-05-21 19:00:00+00:00,2025-05-21 19:59:59.999000+00:00,BTCUSDT,1h
1747857600000,108603.79,108739.14,107725.0,108238.09,1238.80704,1747861199999,134087116.9669312,215342,396.19337,42882170.2637483,0,2025-05-21 20:00:00+00:00,2025-05-21 20:59:59.999000+00:00,BTCUSDT,1h
1747861200000,108238.09,108560.34,107940.0,108414.64,776.08015,1747864799999,84036372.8836435,146051,442.55591,47919429.8634711,0,2025-05-21 21:00:00+00:00,2025-05-21 21:59:59.999000+00:00,BTCUSDT,1h
1747864800000,108414.63,109028.25,108278.97,108739.36,789.45572,1747868399999,85841504.1745894,181590,378.46907,41151898.0097782,0,2025-05-21 22:00:00+00:00,2025-05-21 22:59:59.999000+00:00,BTCUSDT,1h
1747868400000,108739.36,110797.38,108660.0,109643.99,4705.594915,1747871999999,517129904.9347215,503282,2958.382275,325206960.9652557,0,2025-05-21 23:00:00+00:00,2025-05-21 23:59:59.999000+00:00,BTCUSDT,1h
1747872000000,109643.99,110178.49,109177.37,109954.53,2147.46453,1747875599999,235748418.8317719,383589,1178.5907,129391834.6580814,0,2025-05-22 00:00:00+00:00,2025-05-22 00:59:59.999000+00:00,BTCUSDT,1h
1747875600000,109954.54,110576.7,109667.0,109920.68,1776.18943,1747879199999,195590422.5795329,362048,979.756,107915632.0302157,0,2025-05-22 01:00:00+00:00,2025-05-22 01:59:59.999000+00:00,BTCUSDT,1h
1747879200000,109920.69,110981.96,109822.58,110471.51,2116.54822,1747882799999,233698575.9259728,359555,1042.96561,115183673.0229271,0,2025-05-22 02:00:00+00:00,2025-05-22 02:59:59.999000+00:00,BTCUSDT,1h
1747882800000,110471.52,111880.0,110339.87,111780.84,2977.5295,1747886399999,331123631.4551031,452651,1706.01673,189687821.8044516,0,2025-05-22 03:00:00+00:00,2025-05-22 03:59:59.999000+00:00,BTCUSDT,1h
1747886400000,111780.84,111795.04,111234.4,111482.42,1845.93128,1747889999999,205746744.209355,344938,847.78189,94497451.9936037,0,2025-05-22 04:00:00+00:00,2025-05-22 04:59:59.999000+00:00,BTCUSDT,1h
1747890000000,111482.43,111672.32,110832.38,110879.99,2584.32531,1747893599999,287700289.7460812,301416,1534.62065,170888428.5337783,0,2025-05-22 05:00:00+00:00,2025-05-22 05:59:59.999000+00:00,BTCUSDT,1h
1747893600000,110880.0,111185.82,110478.26,110606.07,1507.16841,1747897199999,167082981.5692447,253604,781.68851,86667073.0274058,0,2025-05-22 06:00:00+00:00,2025-05-22 06:59:59.999000+00:00,BTCUSDT,1h
1747897200000,110606.07,111139.71,110461.87,111045.45,1165.97838,1747900799999,129237289.7112533,229886,637.26405,70644637.3285899,0,2025-05-22 07:00:00+00:00,2025-05-22 07:59:59.999000+00:00,BTCUSDT,1h
1747900800000,111045.45,111162.18,110381.46,110409.09,1178.49072,1747904399999,130512439.2464775,212579,580.83934,64312886.387719,0,2025-05-22 08:00:00+00:00,2025-05-22 08:59:59.999000+00:00,BTCUSDT,1h
1747904400000,110409.1,110840.0,110272.72,110821.3,1046.51732,1747907999999,115681071.5176981,214853,571.02222,63128293.5814417,0,2025-05-22 09:00:00+00:00,2025-05-22 09:59:59.999000+00:00,BTCUSDT,1h
1747908000000,110821.3,110952.39,110601.0,110805.22,823.91343,1747911599999,91304693.6598242,146478,415.837,46083340.6579868,0,2025-05-22 10:00:00+00:00,2025-05-22 10:59:59.999000+00:00,BTCUSDT,1h
1747911600000,110805.23,111326.2,110500.0,110981.97,965.26641,1747915199999,106998592.5821001,171443,545.63901,60500910.4833005,0,2025-05-22 11:00:00+00:00,2025-05-22 11:59:59.999000+00:00,BTCUSDT,1h
1747915200000,110981.98,111626.43,110804.72,111608.69,1598.01131,1747918799999,177860761.7293844,242095,890.22119,99084397.0328525,0,2025-05-22 12:00:00+00:00,2025-05-22 12:59:59.999000+00:00,BTCUSDT,1h
1747918800000,111608.69,111625.75,110904.0,110914.49,1601.31192,1747922399999,178149621.8180587,322646,731.53656,81389555.9975575,0,2025-05-22 13:00:00+00:00,2025-05-22 13:59:59.999000+00:00,BTCUSDT,1h
1747922400000,110914.49,111397.94,110550.0,110897.9,1686.01739,1747925999999,187068767.91089633,371627,881.2551,97793930.1961061,0,2025-05-22 14:00:00+00:00,2025-05-22 14:59:59.999000+00:00,BTCUSDT,1h
1747926000000,110897.89,111529.72,110787.8,111290.86,1200.91956,1747929599999,133464847.7143286,243477,617.85132,68651707.2075549,0,2025-05-22 15:00:00+00:00,2025-05-22 15:59:59.999000+00:00,BTCUSDT,1h
1747929600000,111290.85,111782.61,111087.25,111252.36,780.15322,1747933199999,86899428.1042458,224390,388.10016,43235999.3835577,0,2025-05-22 16:00:00+00:00,2025-05-22 16:59:59.999000+00:00,BTCUSDT,1h
